"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202503","0010VDS30340","1","2197264","8.17","94.45","82295","4914","20250401083008"
"202503","0010VDS30400","1","2017185","3.76","80.75","70637","18643","20250401083008"
"202503","0010VDS30500","1","2002272","4.49","72.91","70942","18338","20250401083008"
"202503","0010VDS30600","1","1379072","4.02","77.48","70788","18492","20250401083008"
"202503","0010VDS30631","1","2505436","4.80","79.73","87503","1777","20250401083008"
"202503","0010VDS30640","1","2528497","10.37","81.43","84763","4517","20250401083008"
"202503","0010VDS30647","1","1961833","3.86","86.38","77421","11859","20250401083008"
"202503","0010VDS30691","1","1847020","3.60","87.68","74920","14360","20250401083008"
"202503","0010VDS30702","1","1701139","3.20","88.07","73119","16161","20250401083008"
"202503","0010VDS30800","1","1754341","3.40","84.69","74474","14806","20250401083008"
"202503","0010VDS30900","1","1750701","3.38","83.93","74853","14427","20250401083008"
"202503","0010VDS30920","1","442878","6.98","60.63","89269","11","20250401083008"
"202503","0010VDS30930","1","101392","2.52","83.94","89269","11","20250401083008"
"202503","0010VDS30991","1","1528237","3.83","86.53","80044","9236","20250401083008"
"202503","0010VDS31005","1","2513750","4.16","84.27","87112","2168","20250401083008"
"202503","0010VDS31010","1","215221","5.41","67.15","89233","47","20250401083008"
"202503","0010VDS31201","1","1628752","0.43","97.51","52556","14912","20250401083008"
"202503","0010VDS31210","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS31220","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS31301","1","1495266","0.46","90.16","45061","19092","20250401083008"
"202503","0010VDS31400","1","951910","0.44","94.57","57840","11397","20250401083008"
"202503","0010VDS31501","1","1836266","0.38","98.01","83666","1763","20250401083008"
"202503","0010VDS31680","1","2600937","12.19","86.90","81703","5181","20250401083008"
"202503","0010VDS31700","1","1785756","1.99","86.89","58583","13970","20250401083008"
"202503","0010VDS32000","1","1636453","1.73","86.52","57313","15311","20250401083008"
"202503","0010VDS32151","1","1498067","0.47","87.61","59472","13019","20250401083008"
"202503","0010VDS32251","1","1651534","0.45","89.48","53895","15826","20250401083008"
"202503","0010VDS32351","1","1689980","0.46","86.45","66741","1821","20250401083008"
"202503","0010VDS32400","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS32500","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS32501","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS32502","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS32503","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE00100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE00200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE00300","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE00450","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE00750","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE00900","1","385361","2.75","102.60","88507","773","20250401083008"
"202503","0100VDE01100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0100VDE01300","1","449448","3.17","89.49","88495","785","20250401083008"
"202503","0100VDE01500","1","523832","3.18","92.65","87853","1427","20250401083008"
"202503","0100VDE01600","1","481270","3.24","95.03","88631","649","20250401083008"
